DATE,M2SL
2000-01-01,4666.2
2000-02-01,4679.4
2000-03-01,4710.2
2000-04-01,4766.1
2000-05-01,4753.9
2000-06-01,4771.8
2000-07-01,4789.4
2000-08-01,4817.5
2000-09-01,4853.2
2000-10-01,4869.2
2000-11-01,4880.3
2000-12-01,4925.0
2001-01-01,4975.7
2001-02-01,5014.1
2001-03-01,5072.0
2001-04-01,5135.9
2001-05-01,5133.0
2001-06-01,5173.5
2001-07-01,5203.4
2001-08-01,5237.2
2001-09-01,5348.4
2001-10-01,5337.1
2001-11-01,5380.8
2001-12-01,5433.8
2002-01-01,5454.1
2002-02-01,5483.4
2002-03-01,5495.2
2002-04-01,5495.4
2002-05-01,5521.5
2002-06-01,5546.5
2002-07-01,5589.1
2002-08-01,5631.6
2002-09-01,5656.0
2002-10-01,5700.4
2002-11-01,5750.6
2002-12-01,5772.0
2003-01-01,5804.6
2003-02-01,5840.7
2003-03-01,5861.4
2003-04-01,5898.8
2003-05-01,5959.3
2003-06-01,5996.0
2003-07-01,6042.7
2003-08-01,6100.8
2003-09-01,6072.8
2003-10-01,6063.6
2003-11-01,6069.1
2003-12-01,6067.3
2004-01-01,6075.5
2004-02-01,6114.3
2004-03-01,6150.1
2004-04-01,6191.2
2004-05-01,6268.1
2004-06-01,6270.5
2004-07-01,6284.3
2004-08-01,6310.6
2004-09-01,6345.3
2004-10-01,6373.3
2004-11-01,6399.8
2004-12-01,6418.3
2005-01-01,6424.5
2005-02-01,6432.8
2005-03-01,6441.9
2005-04-01,6455.9
2005-05-01,6473.3
2005-06-01,6505.8
2005-07-01,6537.4
2005-08-01,6570.2
2005-09-01,6604.3
2005-10-01,6638.6
2005-11-01,6655.0
2005-12-01,6681.9
2006-01-01,6724.3
2006-02-01,6748.6
2006-03-01,6762.9
2006-04-01,6800.1
2006-05-01,6806.9
2006-06-01,6844.9
2006-07-01,6886.3
2006-08-01,6917.1
2006-09-01,6944.2
2006-10-01,6993.3
2006-11-01,7028.4
2006-12-01,7071.6
2007-01-01,7109.6
2007-02-01,7125.3
2007-03-01,7159.1
2007-04-01,7231.3
2007-05-01,7245.4
2007-06-01,7278.6
2007-07-01,7309.0
2007-08-01,7385.1
2007-09-01,7403.2
2007-10-01,7417.2
2007-11-01,7441.8
2007-12-01,7471.6
2008-01-01,7505.5
2008-02-01,7590.6
2008-03-01,7656.2
2008-04-01,7699.2
2008-05-01,7711.2
2008-06-01,7728.9
2008-07-01,7775.4
2008-08-01,7790.2
2008-09-01,7859.5
2008-10-01,7965.3
2008-11-01,8015.8
2008-12-01,8192.1
2009-01-01,8273.7
